# wavelength(um) flux(mJy)
3.814539034366603021e-01 7.816778307663827061e-04
3.816260724067683241e-01 2.451568377358255210e-03
3.817982413768763461e-01 1.417159813794090359e-03
3.819704103469843681e-01 4.761085806051172908e-05
3.821425793170924456e-01 -4.087524776668731972e-04
3.823147482872004677e-01 -1.185794181072656242e-04
3.824869172573084897e-01 -5.889912249613769727e-04
3.826590862274165117e-01 7.346456606658812935e-04
3.828312551975245337e-01 8.933146953249812734e-04
3.830034241676325557e-01 4.250150739644165099e-04
3.831755931377406332e-01 -1.568675860277784969e-05
3.833477621078486552e-01 -1.703619186707834923e-04
3.835199310779566773e-01 2.011568877240732295e-04
3.836921000480646993e-01 -3.342150175344938876e-04
3.838642690181727213e-01 1.913788520942245213e-04
3.840364379882807988e-01 1.462611658451471027e-03
3.842086069583888208e-01 1.174157509426363398e-03
3.843807759284968428e-01 1.531257763784588154e-03
3.845529448986048648e-01 -1.644729121609347640e-04
3.847251138687128869e-01 7.567414964437195858e-04
3.848972828388209089e-01 2.112052598925682166e-03
3.850694518089289864e-01 1.800701789673681517e-03
3.852416207790370084e-01 1.949837161522797796e-03
3.854137897491450304e-01 1.762588947075556262e-03
3.855859587192530524e-01 1.302535742067466730e-04
3.857581276893610744e-01 -3.790572935082351042e-04
3.859302966594691520e-01 1.861297614663652697e-04
3.861024656295771740e-01 3.160067193284263830e-04
3.862746345996851960e-01 3.104439359572809531e-04
3.864468035697932180e-01 1.563089081308865601e-03
3.866189725399012400e-01 1.028145392080296022e-03
3.867911415100093175e-01 -4.302580651678713022e-04
3.869633104801173396e-01 7.327720067287108200e-04
3.871354794502253616e-01 3.546762363365470161e-04
3.873076484203333836e-01 9.171060484604868146e-04
3.874798173904414056e-01 1.153443470364924400e-03
3.876519863605494276e-01 5.172285317753049991e-04
3.878241553306575051e-01 9.958315057385625467e-04
3.879963243007655271e-01 2.176404047233906295e-03
3.881684932708735492e-01 7.766691625311792843e-04
3.883406622409815712e-01 3.423055110567688945e-04
3.885128312110895932e-01 7.072003012149455966e-05
3.886850001811976707e-01 -8.770973006209847249e-05
3.888571691513056927e-01 6.096603221904327947e-04
3.890293381214137147e-01 3.967240336027536007e-04
3.892015070915216812e-01 -2.292026103583607146e-04
3.893736760616297032e-01 -4.761435791386165101e-04
3.895458450317377808e-01 -9.649811091665091479e-05
3.897180140018458028e-01 6.368716421648651285e-04
3.898901829719538248e-01 1.803291043421654345e-03
3.900623519420618468e-01 8.525739904665796546e-04
3.902345209121698688e-01 -2.017175849085687839e-04
3.904066898822779463e-01 1.085097818328349456e-03
3.905788588523859683e-01 1.410938363494722856e-03
3.907510278224939904e-01 7.823676581073835427e-04
3.909231967926020124e-01 2.522690450914212177e-04
3.910953657627100344e-01 1.185384297680932902e-03
3.912675347328180564e-01 1.536698636846897453e-03
3.914397037029261339e-01 2.553898418566761305e-03
3.916118726730341559e-01 3.091948546759175440e-04
3.917840416431421779e-01 3.062669103521230827e-04
3.919562106132502000e-01 1.741282810779368152e-03
3.921283795833582220e-01 5.628314200495858994e-04
3.923005485534662995e-01 4.932816440714682870e-04
3.924727175235743215e-01 9.643701795289902909e-04
3.926448864936823435e-01 1.251148244467084050e-03
3.928170554637903655e-01 1.294276701391104721e-03
3.929892244338983875e-01 1.187151451528360930e-03
3.931613934040064651e-01 4.343779866982362507e-04
3.933335623741144871e-01 -4.418798209963742938e-04
3.935057313442225091e-01 1.246995315847575832e-03
3.936779003143305311e-01 1.229085745164911099e-03
3.938500692844385531e-01 8.738784996472188059e-04
3.940222382545465751e-01 1.035902414384100387e-03
3.941944072246546527e-01 2.255101216875135279e-03
3.943665761947626747e-01 1.908897108521312490e-03
3.945387451648706967e-01 1.477498125720087385e-03
3.947109141349787187e-01 3.579043153677385772e-04
3.948830831050867407e-01 6.386213669732203899e-04
3.950552520751948182e-01 3.377679740693372815e-04
3.952274210453028402e-01 7.695929336980396069e-04
3.953995900154108623e-01 1.178814803825620683e-03
3.955717589855188843e-01 5.919414544702191784e-04
3.957439279556269063e-01 7.856378792533047668e-04
3.959160969257349283e-01 -1.556976283675725714e-04
3.960882658958430058e-01 -7.643258474997571654e-04
3.962604348659510278e-01 1.014754554935030093e-03
3.964326038360590498e-01 1.415759733408705453e-03
3.966047728061670719e-01 6.545617584709423125e-04
3.967769417762750939e-01 6.062601847470053045e-04
